posted_date,skills,job_name,job_type,company_name,description,ld_link
30+ days ago,"['C', 'Python']",Python Developer,"Full-time, Contract",Systech Corp,"urgent need for senior resource for our client in California. This role will be remoteNeeded Skills:PythonPysparkJob Types: Full-time, ContractExperience:Python: 4 years (Preferred)Work Remotely:Yes",https://www.learningdollars.com/client/select_engineers/?crid=1820
2020-07-28,"['C', 'Java', 'JavaScript', 'Linux', 'REST', 'Windows']",VRA VRO Developer with JavaScript and Rest API experience, -  Contract,BrickRed Systems,Experience working with VMware vRealize Automation (vRO) and VMware vRealize Orchestrator (vRO) version 7.5 & above .Experience developing vRO workflows and actions using JavaScriptExperience with vRA/vRO system integration using REST API to external systems such as Service-Now .Experience working with VMware vCenterWorking knowledge of Converged and Hyper-Converged infrastructureExperience with administration of Windows and Red Hat Linux serversStrong verbal and written communication skills including the ability to document technical informationJob Type: ContractPay: $65.00 - $70.00 per hourExperience:API Testing: 4 years (Required)JavaScript: 4 years (Required)VRA/Development: 6 years (Required)vRO development: 6 years (Required)Schedule:Monday to FridayWork Remotely:Yes,https://www.learningdollars.com/client/select_engineers/?crid=2001
2020-07-28,"['C', 'Excel', 'Go', 'Perl', 'SQL', 'UNIX']",Software Developer,Contract,Sedna Consulting Group,"Job title: IT Software DeveloperLocation: Memphis TNDuration: 6+ monthsRemote till the end of the yearThe ideal candidates will have the following background and experience:Familiarity with version control tool like SVN.Good working knowledge of TOAD or similar tool for Oracle development.Good working knowledge of PL/SQL; Extensive batch programming using PL/SQL with efficiency in query optimization and bulk processing.Strong performance tuning skills.Good Working knowledge of UNIX.Good working knowledge of HP Quality CenterWorking knowledge of Progress 4GL is preferred.SKILLS & KNOWLEDGE: Strong knowledge of language development and applications designAnalytical and interpretive skillsStrong organizational skillsExcellent interpersonal skillsExcellent negotiation skillsAbility to work in a team environmentAbility to meet or exceed Performance CompetenciesEXPERIENCE:Six (6) years of language development in a relevant and applicable language and/or business analytical experience or equivalent combination of education and experience required. Proven experience in interpreting user requirements, business applications design, and development of business applications strongly preferred.Job Type: ContractExperience:language development : 6 years (Preferred)Education:Master's (Preferred)Work authorization:United States (Required)",https://www.learningdollars.com/client/select_engineers/?crid=2002
2020-07-28,"['Artificial intelligence', 'C', 'DevOps', 'REST']",Playfab Developer with mobile experience for freelance project," -  Part-time, Temporary, Contract",arc.dev,"About ArcWe believe you don't have to live in a tech hub to do great work!Great talent is global, but for most companies, hiring is still local. We take the friction out of the remote hiring experience, enabling companies to simplify their hiring process and find previously untapped developers. We want to empower talent around the world to land great opportunities.About our clientOur client is a US-based Artificial Intelligence company.About the projectThe Playfab developer will need to rebuild code as the Playfab DevOps environment is restored.Skills / Requirements: Experience in Playfab development.Experience in mobile (any platform) desirable.Additional Information:This is a critical project and based on our client's industry, all those that apply will need to pass a background check before being hired.Hiring is through Arc, you will need to pass a technical interview with our team.Estimated weeks: 2/4 weeksEstimated availability: 30 hrs a week at least.Job Types: Part-time, Temporary, ContractSalary: $40.00 to $70.00 /hourExperience:mobile development: 3 years (Preferred)Plafab: 2 years (Required)Application Question:1) Linkedin profile2) Desired rate per hourContract Renewal:PossibleWork Location:Fully RemoteHours per week:20-29Employment Length:2 - 4 weeksVisa Sponsorship Potentially Available:No: Not providing sponsorship for this jobThis Job Is Ideal for Someone Who Is:Adaptable/flexible -- enjoys doing work that requires frequent shifts in directionDetail-oriented -- would rather focus on the details of work than the bigger pictureAchievement-oriented -- enjoys taking on challenges, even if they might failAutonomous/Independent -- enjoys working with little directionInnovative -- prefers working in unconventional ways or on tasks that require creativityHigh stress tolerance -- thrives in a high-pressure environmentThis Job Is:A job for which all ages, including older job seekers, are encouraged to applyOpen to applicants who do not have a college diplomaA job for which people with disabilities are encouraged to applySchedule:Monday to FridayOn call",https://www.learningdollars.com/client/select_engineers/?crid=2003
2020-07-25,"['.NET', 'C', 'G Suite', 'Go', 'JIRA', 'Nodejs', 'Perl', 'SCRUM']",Dot Net Developer,"Full-time, Contract",Applabsystems,"Hi,Please go through the below mentioned job description and get back to me on 669.241.3655.Net developerLong Term ContractWFH till Covid-19 PandemicYears of Experience:  10 YearsCertifications:  Google developer CertificationDescription: Over 9 to 10 Years of .Net ExperienceCode development and support for G-Suite environment.Extensive experience with Team Foundation ServerExperience in a scrum environmentWork with Jira / ConfluenceIntegration work with .Net and Oracle backend systemsExpertise in Object Oriented design and developmentTechnologies:  Nodejs, .NET and Database developmentJob Types: Full-time, ContractSalary: Up to $2.00 per hourExperience:.Net: 9 years (Preferred)G suite: 4 years (Preferred)",https://www.learningdollars.com/client/select_engineers/?crid=2004
2020-07-23,"['C', 'Git']",Front End Developer (Full-time contract),"Full-time, Contract",Instrument,"Instrument is excited to connect with Front End Developers who are open to contract engagements for immediate and future needs with the agency. We are looking for enthusiastic collaborators who are passionate about their craft and flexible in their work engagements, joining our teams for a few months, a few weeks or just a few days. We encourage you to submit your materials with as much detail as possible so we are able to thoughtfully consider you for freelance needs as they arise.
We’re looking for freelance Front End Developers who can bring ideas to life in the digital space. You like architecting out solutions and then implementing them. You work efficiently and comfortably in ticketing systems, and tackle details with precision while keeping an eye on the big picture. You grasp the implications of back-end API integrations, and can effectively communicate functional dependencies to back-end developers, designers, producers and clients. You want to build better experiences and use technology to further human progress.",https://www.learningdollars.com/client/select_engineers/?crid=1968
30+ days ago,"['.NET', 'C', 'C#', 'CSS', 'DevOps', 'Excel', 'Git', 'Go', 'Graphic Design', 'HTML', 'Java', 'JavaScript', 'Joomla', 'Magento', 'MongoDB', 'MySQL', 'PHP', 'REST', 'SQL', 'TFS', 'Wordpress']",Jr. Web Developer,"Part-time, Contract",Rabb Consulting,"Part-Time | Remote | Independent Contractor
We have an exciting new opportunity for a budding web developer or web designer emerging into the world of software design and development. As a Jr. Web Developer, this exciting role can be a ideal jump-start to a career in software design, development, and analysis. If you are passionate about adding value to your career by gaining real-world experience in addition to learning fundamental techniques needed to excel in a career in software applications this may be a good fit for you!
Job Overview
The Jr. Web Developer role offers the entry-level web developer or designer numerous opportunities to build on existing technical proficiency and business acumen as it relates to application system development and design. The Jr. Web Developer will be introduced to technologies used by business units of all sizes that utilize software in their day-to-day operations.

This is a remote opportunity that will require little to no travel, however you will be responsible for ensuring you have the proper equipment needed to perform the role. Typically equipment needs include little more than a laptop or desktop computer, reliable high-speed internet connection and a cellphone with WiFi and/or data service. Any software needed will be provided by RC, LLC.**
Responsibilities
Design, modify, develop, test and implement code used to create web applications
Fluent in HTML5, CSS3 & JavaScript
Follow pre-established coding standards and other guidelines
Working with web\graphic designer to develop appealing web front-ends
Hosting & domain management experience
Work directly with CEO and Client Account Managers to design and develop web applications and scripts to facilitate business needs.
Perform related tasks as assigned
Keen attention to detail
Highly self motivated and directed
Analytical and problem-solving abilities
Bonuses to have
Working knowledge of server programming languages such as PHP, C#, or VB
Working knowledge of database scripting languages and technologies such as SQL, MySQL, or MongoDB
Working knowledge of Content Management Systems (CMS, eCMS, DocMS,etc) such as Joomla, WordPress, Magento
Familiar with a source code versioning tools such as Git, SVN, DevOps, or TFS

Skills
Working knowledge of HTML and CSS
Low Level PHP experience
Ability to slice a mockup PSD into valid HTML
Experience with WordPress coding is a plus
Follow detailed instructions and complete assignments in a timely manner
Bonuses to have:
Keen insight into human behavior: knowing what consumers find believable, interesting, attractive, provocative and compelling
Dedication to working in a collaborative environment to develop and deliver the best ideas
Ability to take any project from concept to completion while working within strict time and budgetary parameters
Agility, flexibility and keen attention to detail in order to manage and advance multiple projects simultaneously
Exceptional research, grammar and proofing skills

Education and Training Requirements
Associates Degree in CS/CIS, IT or related field or equivalent self-taught experience showing you have the capacity to understand basic to intermediate web design concepts and technologies.

If you are a student or recent graduate you must have a proven self-taught skill set that you can represent in a portfolio.

To be considered for this position, please send your resume and cover letter to careers@rabbcon.com.",https://www.learningdollars.com/client/select_engineers/?crid=1969
2020-07-24,"['C', 'CSS', 'Nodejs', 'React', 'SSIS', 'Webpack']",Front-End Developer Contractor,"Temporary, Contract",GeekHive,"GeekHive is actively seeking a Front-End Developer Contractor (on-site or remote) for placement in modern front-end projects, responsible for implementing features with a team. This is currently a temporary/contract position.
Key Responsibilities:
Working with a cross-functional project team.
Implementing application features with React.
Providing estimates for tasks and other responsibilities.
Successful candidates will possess:
3+ years of professional development experience required.
2+ years of React experience required.
2+ years of Node.js experience preferred.
Solid styling ability with CSS, preferably via SCSS or LESS.
Working knowledge of Node.js-based build tools such as Webpack.
Experience with building accessible websites.
Successful employees will be:
Intellectually curious with a passion for personal development, learning, and teaching.
Outstanding interpersonal and communication skills.
Problem solver who exercises sound judgment in complex situations.
Possess ability to provide strategic guidance and counsel to stakeholders in the assessment and development of existing and/or proposed processes and systems.
Self-motivated and proactive; works effectively with limited oversight and direction; attentive to detail; organized; ably manages resources, constituencies, projects of varying size, and multiple and competing priorities and deadlines.
Superior commitment to serving others with empathy, timeliness, accuracy, thoroughness, and professionalism.

The Gritty Details:
Please note: we do not provide relocation assistance or work sponsorship. This role requires authorization to work for any employer in the US without visa sponsorship.

GeekHive is an equal opportunity employer.

To all Agencies/Vendors:
We do not accept agency resumes. We are not responsible for any fees related to unsolicited resumes.

Powered by JazzHR
EeA50nuk3o",https://www.learningdollars.com/client/select_engineers/?crid=2005
2020-07-28,"['C', 'CSS', 'Drupal', 'Git', 'HTML', 'Java', 'JavaScript', 'Sass', 'Wordpress', 'jQuery']",Web Developer,"Full-time, Contract",12th Wonder,"Description:looking for significant Drupal and WordPress experience.We’re looking for candidates with deep expertise in:Developing websites using Drupal and WordPress and related languages, libraries, and standards-compliant code.Understanding Drupal and WordPress architecture and experience in building and maintaining custom modules and plug-ins.Experience in a collaborative workflow using development/stage/production environments, code reviews, and Git/GitHub or similar.Experience in test automation and continuous delivery.Experience with HTML5, JavaScript, jQuery, CSS, and SASS/Compass.Familiarity with browser devices and platform differences and idiosyncrasies, and ability to develop workarounds to accommodate specialized user/client needs and device platforms.Job Types: Full-time, Contract",https://www.learningdollars.com/client/select_engineers/?crid=2006
2020-07-23,"['.NET', '.NET Core', 'Agile', 'Azure', 'C', 'C#', 'Microservices', 'Perl', 'REST', 'SQL', 'Security']",C#.Net Developer,Contract,Data Sys It inc,".Net DeveloperLocation: RemoteDuration: Long term contractOpenings: MultipleRemote Opportunity!Seeking Senior Level .NET Backend Developer to join our fast-growing technology team. Hands-onDevelopers/Engineers will be building enterprise level applications using .Net core2.2+, C#, APS.NET, WEBAPI technologies in Azure using Microservices Architecture.Job Description:This development will occur in an Agile environment, typically in fixed-length sprints, with regular interactions with ProductOwners and other team members. The Software Engineer is expected to produce high-quality software, to functioneffectively as a member of a team, to interact with management and other members of the development group, and tocontinually seek to improve themselves and the company.Position Responsibilities/Duties: Design, develop, document, test, and debug new and existing software systems and/or applications for market saleor large-scale proprietary software for internal use Participate in full development life cycle including requirements analysis and design Create RESTFUL services using WebAPIs Implement the token-based Authorization (JWT) to secure communication between MicroservicesRequired: Bachelor’s Degree in Computer engineering or related field Candidate must have 7-10 years’ of .Net experience with minimum of 2 years of .Net core Minimum of 3 years solely focused on backend Demonstrated expertise Entity Framework Core 2.2+ Demonstrated expertise in C# .NET Core 2.2+. Demonstrated expertise with Domain Driven Design. Demonstrated expertise with Microservices Architecture Proficient MS-SQL, Indexes, T-SQL, Stored Procedures, etc. Experienced in cloud-based environments, i.e., developing and deploying using Microsoft Azure. Experienced and knowledgeable of security authentication, authorization, OAuth, OpenID, and SAML – A PlusJob Type: ContractExperience:Microservices Architecture: 1 year (Preferred)Azure: 1 year (Preferred).Net core2.2+: 1 year (Preferred)",https://www.learningdollars.com/client/select_engineers/?crid=2007
2020-07-24,"['Agile', 'C', 'Git', 'JIRA', 'Java', 'Microservices', 'REST', 'SSIS', 'Spring', 'XML']",Software Engineer,Contract,Accuro,"We're looking for a 4-7 years experience (Senior) Other to assist in the Customer Financial Services.

Software Engineer in Customer Financial Services

Background

Customer Financing is a group of digital products that will enable more of the many people to interact and furnish their homes with the products delivered. One of the digital products in this area, Pre-Paid Payments, also known as gift cards is under development and is in the need of expanding the team with another senior software engineer to contribute and support the product development.

The scope of the consultant services is to assist in..

Work with implementing features connected to the product.Capture, analyze and challenge business requirements (both functional and non-functional) from stakeholders related to the backlog of the product.Identify feasible solutions.Work together with the team to develop industry standard digital solutions that improve the customers experience of Gift Cards.
Requirements:

Java, Spring boot, Cloud, Microservices, RESTful WebServices, REST-assured, XML, Swagger, Jira, Git, Test driven developtment, Agile ways of working, Team player, SW Requirement Analysis, Modern/ Industry standard SW engineering practices

Three most important things:
Java
Springboot
Test Driven Development

Period and Location:
Project start date: 2020-09-01
Total estimated hours: 1760
Project end date: 2021-09-01
Primary working site(s) will be: Remote",https://www.learningdollars.com/client/select_engineers/?crid=1971
2020-07-21,"['Agile', 'C', 'REST', 'SAP']",SAP ABAP Developer - REMOTE,Contract,Geologics Corporation,"SAP ABAP Developer - Raytheon Company: CAN BE WORKED REMOTELY

US CITIZEN ONLY

GeoLogics is a “tier 1” vendor with Raytheon Technologies and I am working with one of their hiring managers. He is looking foran SAP ABAP Developer. You must be a US Citizen to apply.
This position CAN BE WORKED REMOTELY.

Hourly rate: OPEN (w2) OR (c2c, if you have your own company)

Key skills required:

SAP ABAP Developer
Primary skills: A&D GPD (grouping, pegging & distribution), objected oriented experience, performance tuning, FI/CO and Project Systems, working in a collaborative team environment.
Nice to have: Test driven development, agile development methodology.

If interested in learning more about this “contract” position, please email your resume to sgephart@geologics.com and I will call back with more information.

Best Regards,

Sam Gephart
Recruiter
GeoLogics Corporation
888-303-3603 (toll free)
sgephart@geologics.com",https://www.learningdollars.com/client/select_engineers/?crid=1970
