posted_date,skills,job_name,job_type,company_name,company_location,website,description,ld_link
2020-07-28,"['Agile', 'Angular', 'C', 'Continuous Integration', 'Git', 'Go', 'Java', 'JavaScript', 'MongoDB', 'MySQL', 'Nodejs', 'Postgres', 'REST', 'SCRUM', 'SQL']",NativeScript Developer,"Full-Time, Programming, Full-Stack, Anywhere (100% Remote) Only", ReKTGlobal ,"Charlotte, NC",https://www.rektglobal.com,"Fullcube, the product division of ReKTGlobal, is seeking a NativeScript Developer with a passion for mobile.The successful candidate will be an experienced full stack JavaScript developer with a strong NativeScript background and willingness to take on a challenging project with both programming and problem solving skills. Gaming/esports enthusiasts are preferred, as the scope of work focuses on this niche market.This opportunity is fully remote, however given the current footprint of our team, our preference is the eastern timezone of North America, or Western Europe.What You Need for this PositionThe ideal candidate will have a solid background in all modern web technologies with a focus on the MEAN stack, including:3+ Years experience with NativeScript3+ Years experience with Angular3+ Years experience with Node.jsMongoDB, Postgres, MySQL etc.Knowledge of and experience developing for the Loopback API framework is a strong advantage.Experience working in distributed development teams.An understanding of agile and scrum methodologies.Knowledge of and experience working with continuous integration environments.Automated testing and test driven development.Experience building out and integrating with restful web services.Active participation in Open Source communities and a decently active public Github (or similar) profile.Past SaaS product experience.",https://www.learningdollars.com/client/select_engineers/?crid=2095
2020-07-28,"['Angular', 'C', 'CSS', 'Excel', 'Git', 'Go', 'HTML', 'HTTP', 'Java', 'JavaScript', 'Laravel', 'OCR', 'PHP', 'REST', 'React', 'Vue.js', 'Wordpress', 'jQuery']",Senior WordPress Plugin Developer,"Full-Time, Programming, Back-End, Anywhere (100% Remote) Only", Delicious Brains Inc ,"Nova Scotia, Canada",https://deliciousbrains.com,"Hi, my name is Brad Touesnard. I’m the founder of Delicious Brains Inc. We make high quality products for WordPress.The “we” is currently a small team of seven developers, one designer, one marketer, and myself. I’m very proud to say that our little crew has been managing to delight thousands of customers for years.Despite the crazy times we’re living in, we have big plans for 2020 and this is a great opportunity to join a small team of talented folks building awesome products before we get bigger. The JobI’m looking for a talented developer with lots of experience building WordPress plugins to join Jonesy in taking the WP Offload Media plugin to the next level. This involves building new features, fixing bugs, writing documentation, and supporting our customers via email.Although the job involves writing code a majority of the time, you will spend a significant amount of your time sending emails to our customers, helping them with their problems with WP Offload Media. You’ll start by drafting replies and having Jonesy review them before sending, but in short order you will reply directly to customers.You’ll also join the rest of our whole team in writing new articles and tutorials for our sites and updating existing content. We send an email to our 11k subscribers every week about our content.Although this is how you’ll start, I’ve shuffled people around lots in the past and we’ll certainly be building new products in the future, so your role is certainly not set in stone. We have plans to start building a cloud component to WP Offload Media late this year or early next, so you will likely be involved with that project. ResponsibilitiesCollaborate with Jonesy, building new features for the WP Offload Media pluginInvestigate and fix bugs reported by customers and our teamWrite new acceptance tests and maintain existing tests in our Codeception suiteHelp handle support requests from customersWrite new articles and tutorials for our site and update existing contentAttend company retreats (see details below)Requirements Expert PHP development skills5 years of advanced PHP development5 years of HTML & CSS development2 years of JavaScript development (ES6/jQuery)2 years of advanced WordPress plugin development1 year working with git as source controlExperience writing automated testsExperience working with complex APIs like Amazon Web ServicesExcellent English communication skills (spoken and written)Work hours that overlap with the BST/GMT (London) timezoneSelf-motivated and work well independentlyComfortable working remotely (we don’t have an office)Bonus Points Experience developing with the Laravel frameworkExperience with modern JS frameworks (e.g. React, Vue.js, Angular)System administration skillsUX and design skillsOpen source contributionsComputer Science degree or equivalentAbout YouYou’re thrilled to work with the latest hotness language or framework but also thrive working on a “fixer-upper” project. You respect old code, no matter how ugly it looks. You truly enjoy figuring out how old code works, refactoring it, and tackling the challenges that come with it. You have experience doing this type of work and know you love it. You’re a problem solver who loves to analyze an issue, recreate it and track it back to the source of the problem. You won’t commit any code unless it’s fully tested and solves the problem. Better still, you write the tests to go with it. You’re curious and love to learn. You embrace the opportunity to level up, learn something new and really dig into it. You’re a disciplined worker and have no trouble getting work done at home on any given day. You value consistency above preference and will adopt new coding styles, standards, and tools to that end. You are stellar at identifying the simple, elegant solution in a sea of over-engineering possibilities. Although you enjoy working with people to help you generate ideas and formulate a plan of attack on a project, you do your best work in isolation without interruption. You’re proactive in tackling things that need to be done without direction.You’re exceptional at communicating in writing via instant message, email, etc. You’re ok on the phone and video chat too. You understand that clear, concise written communication is how remote teams thrive. Putting a pull request up for review without explaining its context is unheard of for you. You own both successes and failures. When a project you’re leading turns into a disaster, you own it and you learn from it. You never point the finger at others.You invite criticism and genuinely want to grow as a professional. You’re onboard with pushing each other to be better and are not afraid to give constructive criticism in addition to receiving it. The Offer Location Independent. Work from wherever you’re happiest, as long as you can make a scheduled meeting or two per week.Choose Your Schedule. Most companies claim to have flexible hours, but the reality is often very different. We flex our hours for real. 💪 As long as you’re working the number of hours you’ve committed to working each week and you do what you say you’ll do, we’re good.Company Retreats. As a remote company, it’s super important to get some face time. Last year we had a blast in Berlin but we had to cancel our trip to Portugal this past June. Hopefully we’ll be able to meet up again soon. Will you be joining us?Personal Development. If there’s a conference or event that will help you level up, the company will cover your expenses. You’re also allotted 3 hours per month to learn something new, participate in community discussions, and/or contribute to an open source project.Profit Sharing. I present a Profit & Loss report to the team quarterly so everyone knows how the company is doing. And when the company does well, the team does well. Last year, a member of the team received on average USD $3,100.Company Holidays. Things get pretty quiet in late December / early January, so we always treat ourselves to a couple of weeks off to reboot during this time.Paid Leave. For the birth or adoption of a child, the company offers 8 weeks of 100% paid leave for primary caregivers and 3 weeks for secondary caregivers. We also offer 5 paid sick days and 3 days of paid bereavement leave.Health Insurance. Members of the team based in Canada are eligible for health/dental/life/disability insurance on a company plan while those outside of Canada are eligible for a stipend to partially cover insurance costs.Competitive Salaries. The company pays salaries that are competitive with the market in which you reside: United States – USD $80,000 – $130,000 / yearCanada, UK, Australia, New Zealand – USD $65,000 – $115,000 / yearIndia, Argentina, Brazil – USD $35,000 – $55,000 / yearApplyFill out the application form: https://deliciousbrains.com/wordpress-developer-applyWe are an equal opportunity employer. Application information that is prone to unconscious biases is hidden during the review process whenever possible. We judge the content of the applications on their own without knowledge of the applicant’s race, color, gender, sexual orientation, religion, national origin, physical or mental disability, or age. We support workplace diversity, but not at the expense of equal opportunity and meritocracy. We’re looking for talented and empathetic people no matter their other attributes. I look forward to reviewing your application. Best of luck, Brad TouesnardFounder & CEODelicious Brains Inc.",https://www.learningdollars.com/client/select_engineers/?crid=2096
2020-07-27,"['Bootstrap', 'C', 'DeFi', 'Excel', 'Git', 'Go', 'Nodejs', 'OCR', 'Postgres', 'REST', 'React', 'Ruby', 'Ruby on rails', 'SSL', 'Typescript', 'Vue.js']",Full Stack Engineer @ CartKit,"Full-Time, Programming, Anywhere (100% Remote) Only", CartKit ,Remote,https://www.cartkit.com,"Remember a time when you received a product or service that completely blew you away? The feeling of deep satisfaction, happiness and joy that you couldn't wait to express to the rest of the world? At CartKit, we believe in empowering digital businesses with the tools that they need so that they can focus on what they do best: creating and selling their unique products and services, and blowing their customers expectations away. We're looking for world class talent to join us on this mission. Intro Why this Role? Create software that will redefine the movement from physical to digital. CartKit is positioned to create the most deeply integrated, leveraged and useful software for commerce in the digital space.Work with some of the best and brightest people in the world. A team of 7 builds products used by over 30,000 businesses. We've achieved more than teams that are 10x our size by relentlessly focusing on first principles, recruiting world-class talent and building in-house tech that allows us to magnify our output.Make an outsized impact. Our team is still small and each team member wears many hats. Get to participate in every phase of the process — from inception, to planning, to implementation, to polish. Take ownership over not just code, but business outcomes.It's a magical time to join. We're bootstrapped, profitable and have rapid growth opportunities ahead of us. Join us and shape the tools that are redefining digital commerce.About this Role So what will you do as a Full Stack Engineer @ CartKit? You'll build new products and features from start to finish. This would involve research, conception, planning, maintenance and polish. Think features that empower digital brands to sell more, such as new marketing channels and integrations.You'll build improvements to existing products and features, such as improving the performance and efficiency of our campaigns editor.You'll build and improve upon business operations and internal tooling — a large part of our efficiency comes from the internal tools and systems we've created — think setting up monitoring and internal dashboards.Is this a good fit for you? We're looking for world class talent that has energy, drive and a conviction to push digital commerce forward. This might be for you if... You excel at your craft — your work is well crafted and well tested.You have experience with scale — you've worked with companies that have experienced rapid growth and understand what it takes to reach the next level.You can readily learn — to you, tech is a means to an end. You're not married to any language, framework, or ideology. You use the right tech for the job and can learn new tech quickly.You care about business implications of the software that you build — you understand the balance between craft, speed and the bottom line. You understand that software is built first and foremost for customers.Bonus: You enjoy writing — you understand that clear writing is oxygen for a distributed team and take pride in clearly articulating your thoughts and ideas.Bonus: You've spent time as a senior engineer or tech lead.Bonus: You're fluent with Typescript, NodeJS, Postgres, Elasticsearch, Ruby on Rails, VueJS, React.Company Mission We want to empower digital businesses with the tools they need so that they can focus on what they do best: creating and selling their unique products and services. About CartKit CartKit's products are used by over 30,000 active businesses from over 150 countries. We're very profitable and have doubled revenue year over year. We're bootstrapped and entirely distributed — find us in Colombia, Mexico, Pakistan, Poland, and the United States. We have a flat organizational structure; everyone is responsible and autonomous. We dislike bureaucracy and aim to eliminate operational inefficiencies. We don't believe in long meetings or formalities. We encourage the team to find the right balance between synchronous and asynchronous collaboration. Each team member is on a personal journey to maximize deep work, focus, creativity and impact. We believe in an idea meritocracy. We focus on adding value and building, getting work done in the best possible way, and making something greater than ourselves. ",https://www.learningdollars.com/client/select_engineers/?crid=2097
2020-07-10,"['C', 'Go', 'MacOS', 'Swift']",Senior macOS Engineer,"Full-Time, Programming, Full-Stack, USA Only"," Duet, Inc. ",USA,https://www.duetdisplay.com,"Duet is looking for a full-time senior level engineer for our macOS platform. About the responsibilities:Self-starter - We look for people that require little management and can take on complex projects themselves. Experience - You are an expert with Objective-C and Swift, and a strong preference for backgrounds in macOS programming.Meticulous - Our users expect the product to 'just work,' and we make an enormous effort to achieve that goal. You should have a very fine attention to detail and a care for the products you ship.Problem Solver - We face a different set of problems every month, and we are looking for someone excited by that challenge. We are looking for someone excited about learning new things and tackling new challenges, as that is a regular occurrence at duet.Responsible - You will be handling development of the macOS product line and shipping directly to customers. This can be both exciting and daunting, so we are looking for people that want to take on a high level of ownership in their work.Skills:Objective-C & Swift knowledge requiredmacOS development background strongly preferredBackend/server/dev-ops experience nice to haveProduct design/user experience/consumer app experience nice to haveBenefitsFully remoteCompetitive PayHealthcare401(k) benefits after one year",https://www.learningdollars.com/client/select_engineers/?crid=2098
2020-07-27,"['C', 'Excel', 'Go', 'Java', 'JavaScript', 'Linux', 'MongoDB', 'NoSQL', 'SQL', 'Selenium']",QA Engineer,"Full-Time, Programming, Full-Stack, Anywhere (100% Remote) Only", Chili Piper ,"One Dock 72 Way Brooklyn, NY 11205",https://www.chilipiper.com/,"We are seeking an expert quality engineer that works closely with engineers developing extensive quality test systems at scale to ensure the highest quality models and oversees releases for best customer experience.This position is responsible for features quality and release. Daily work involves understanding customer usage, being part of feature design development, creating test plans at scale, building automation tools, infrastructures and tests, executing test plans and reporting to stakeholders. You are innovative, organized, self-starter with excellent interpersonal skills, with a keen attention to detail and able to work under tight deadlines. Work with peers inside and outside of the engineering team to ensure high quality releases.QualificationsWhat We're Looking For5+ years of experience as hands on Software QA EngineerStrong programming/scripting with Java and JavascriptStrong experience in test automation using Selenium, Cypress, Robot etc.Ability to identify good candidates for automation and creating white box toolsGood understanding of NoSQL databases, preferably MongoDBSolid knowledge of and hands-on experience with different browsers, operating systems and devicesComfortable working on LinuxExperience working with cross functional teams to understand requirements and perform all tasks related to product quality",https://www.learningdollars.com/client/select_engineers/?crid=2099
2020-07-26,"['AWS', 'C', 'Chai', 'Docker', 'GIS', 'GraphQL', 'Nodejs', 'RPA', 'React', 'Scala']",Senior Software Engineer,"Contract, Programming, Back-End, North America Only", Shrine Development ,"Ferndale, Michigan",http://shrinedev.com,"#1 Reviewed App Developer in Detroit, MI per Clutch.co’s rankings, looking to add a Senior Software Engineer to a growing team!A profitable dev shop with a global presence.  Shrine Development partners with a wide-range of businesses, from boutique startups to Fortune 100 companies to build world-class mobile and web-based applications and business solutions.Markets: Healthcare, Financial Services, Block Chain, and Hospitality/Travel   Core Values: Transparency, Empathy, Urgency, Accountability, Resourceful, DecisivenessCulture: Team, Friendly, Empathetic, Empowerment, Passionate, Solutions-Driven Tech Stack: NodeJS, GraphQL, ReactJS, AWSWhat You Will DoResponsibilities:Architect, design, implement, test and deliver scalable productsDevelop back end services using GraphQL and NodeJSOperate effectively in a hybrid and geographically distributed teamPerform code reviews to ensure we’re pushing high quality code to productionMentor others in development technologies, tools, and processesRequirements:5+ years’ experience in software engineering + B.S. in Computer Science or equivalentAbility to architect high performance / high load back endsCapable of implementing and optimizing micro servicesNice to Haves:Previous experience as a freelancer / business ownerPreviously built front ends using ReactJSBasic understanding of Docker and knowledge of CI/CD pipeline configurationWorked with AWS, architected and implemented a serverless system from the ground upWhy Consider This?The opportunity to turn great Technologists into great Team Members.Shrine’s Founder is a Software Engineer by trade and has a passion for developing talent of every team member.  The Founder and team will work very closely with this individual to sharpen both their technical skills and overall business acumen in a transparent and team-oriented culture.This is a fantastic opportunity to build innovative software, work in a flexible, faced-paced, and fully remote environment.Competitive compensation with opportunity for rapid financial advancementWho You AreEntrepreneurialResults-Driven and AccountableEffective Time ManagerAbility to Work Effectively Independently or as a TeamAttention to Detail / Analytical / Solutions-DrivenEffective CommunicatorPassion About Delivering Business Value",https://www.learningdollars.com/client/select_engineers/?crid=2100
2020-07-26,"['.NET', '.NET Core', 'ARM', 'ASP.NET', 'Agile', 'Angular', 'Azure', 'C', 'C#', 'CSS', 'Go', 'HTML', 'Java', 'JavaScript', 'REST', 'SQL', 'Sass', 'Typescript', 'WebGL']",Front End Web Developer ~ Virtual Office,"Full-Time, Programming, Front-End, USA Only", KBMax ,"Austin, TX",https://kbmax.com," The CultureKBMax is a rapidly expanding CPQ & 3D software & services company based in Austin, TX with technology centers in Portland, Oregon and Parma, Italy. Our product configurators automate the design and quote process for custom products, and our interactive 3D products help raise conversion rates for E-Commerce companies around the world.Our virtual office model requires professionals who understand communication, accountability, and teamwork. We succeed because our people are responsible to each other and care about the company. This entrepreneurial attitude is important to our culture and is built into compensation packages for appropriate employees.Our employees are at their best when happy and rested.  Four weeks paid vacation is standard for new hires with flexible scheduling for personal and sick days.The PositionAs a KBMax front-end developer, you will utilize your mastery of HTML, CSS, and Typescript to engineer the front-end of our next generation cloud-based configurator platform.  You will utilize modern SPA frameworks (Angular, Vue) and responsive design to develop new and creative user experiences.  Your work will be prominently displayed on the websites of some of the biggest brands in the world.You will be flexible and adaptive in your work, and have a strong and persistent desire to learn.  As you become comfortable at KBMax, you will be encouraged to grow and expand your horizons.  We are at the cutting edge of many technologies to expand your horizons including 3D (WebGL & CAD API’s), Enterprise Software Integration (Salesforce.com, ERP), Cloud Architecture, Databases & ElasticSearch.You will be comfortable talking to customers, demoing your work in front of small audiences, and speak fluent English.  Communication is paramount at KBMax.Please be prepared to present a strong portfolio of work during the interview process.Responsibilities-Architect, develop, maintain and test our next generation cloud configurator platform-Collaborate with a small team of developers in a fast-paced agile environment-Engage with KBMax engineers and customers for feedback, feature requests, and solutionsRequired Qualifications-BA/BS or equivalent experience-Languages:  HTML, CSS, Javascript, SASS, Typescript, SPA frameworksExtra Points for Experience in:-C# and ASP.NET Core-3D Development using WebGL-Enterprise Software Integration (CRM, ERP)-TSQL-Azure stack-Visual Rule LanguagesHow to ApplyInterested parties please send resumes and highlight matching qualifications to jobs@kbmax.com.   Please include expected salary ranges.   Outsourcing development companies and non-US work eligible applicants need not apply. ",https://www.learningdollars.com/client/select_engineers/?crid=2101
2020-07-26,"['C', 'GraphQL', 'Java', 'Nodejs', 'Objective C', 'REST', 'React', 'React native']",Remote Contract React Native Engineer,"Contract, Programming, Front-End, Americas Only", G2i Inc. ,"Delray Beach, FL",https://g2i.co,"We’re looking for talented React Native engineers to partner with amazing product companies to work as part of a team on React Native apps for iOS and Android. We regularly partner with Y Combinator funded product companies that place a high value on engineering. Strong communication and documentation skills are needed as this is a fast paced engineering environment. At least 3 months of React Native experience is required and full stack experience with Rails or Node.js is a plus (Apollo Client/GraphQL experience a huge plus). While we prefer candidates that have experience in native Android (Java) or iOS (Objective C), it isn’t required.We are a hiring platform for React and React native engineers. We have multiple clients that are looking for remote React and React Native contractors to start quickly. In addition, our clients are often interested in hiring our developers directly for salaried roles which we support. Let us know if you are open to that in your application.Requirements:Fluent with both verbal and written EnglishWillingness to complete a 6-8 hour code challenge30-40 hours per week of availabilityMid-Senior or Senior level Position (3+ years of professional experience)1+ year of professional experience with React and/or React Native3+ months of React Native experience (with a production app)Nice to have's:Full stack experience (Rails or Node.js)Professional Obj-C or Java experience (Helpful when working with native modules using React Native)6+ months of React Native experienceExperience with Apollo Client & GraphQL",https://www.learningdollars.com/client/select_engineers/?crid=2102
2020-07-26,"['.NET', 'ARM', 'Agile', 'C', 'Chai', 'Chef', 'DevOps', 'Go', 'GraphQL', 'Heroku', 'Java', 'JavaScript', 'Microservices', 'MongoDB', 'Nodejs', 'Python', 'React', 'React native', 'Redis', 'Ruby', 'SEO', 'SSIS', 'Scala', 'Security', 'Typescript']",Senior Software Engineer - Mobile,"Full-Time, Programming, Full-Stack, USA Only", Good Eggs ,"San Francisco, CA",http://www.goodeggs.com,"Good Eggs is working to build the most loved, most profitable, purpose-driven food community in the world. We’re looking for software engineers to help us grow and sustain local food systems by building an online market and supply chain that delivers same-day, absurdly fresh local produce, easy weeknight meal kits, everyday staples, and wine, beer, and spirits to your door.We believe in:The positive impact of good food on our families, our community, and our environment.Sourcing local so there's less time and distance between the farm and your fridge.Investing in local foodmakers’ businesses as we grow ours.Paying our employees a living wage and working with producers who do the same.We’ve focused on growing authentically, with our roots in the community and producers we serve, to create a healthy, sustainable business. Check out our blog to learn more.About the roleThis year our focus is on growth, and we have plenty of exciting technical challenges ahead of us! In addition to re-platforming our entire homegrown eCommerce offering with a mobile-first mindset and building brand new mobile apps, we’ll make strategic improvements in how we handle replenishment, slotting, picking, and transportation management (among others) to keep up with all of the new customers.As a Senior Software Engineer - Mobile, you'll be responsible for the architecture, design, development, and testing of our mobile apps, e-commerce platform and will have an opportunity to work on our warehouse management system and product information management system.About the teamOur technology organization, comprised of Application Engineering, Platform Engineering, Analytics, and IT, will soon number 30 people. We run a mature agile process, including continuous deployment (automated tests not QA), a culture of DevOps (end-to-end ownership of your code), pair programming, and regular retrospectives. We work on project-based teams that form around major business initiatives, so you'll have the opportunity to work across the organization. Nobody likes tech debt, so we both empower developers to refactor as they go and also elevate large refactors to the company roadmap level. We're doing all this using a microservice architecture of horizontally scalable 12-factor apps written using React, React Native, Node.js, TypeScript, MongoDB, GraphQL, Apollo and RabbitMQ. Everything runs on a modern, containerized platform based on Amazon ECS, including a home-grown abstraction layer that offers developers a more productive Heroku-like experience.ResponsibilitiesLead and drive architecture decisions for mobile app development based on React Native frameworkWrite, test, and maintain software across the stack with minimal need for supportWrite technical proposals for solving business problems and work with stakeholders to build alignment around themContribute to engineering best practices and documentationSupport and mentor other engineers including pair programming and PR reviewsParticipate in an on-call rotation to support our systems. When on-call (approximately 1 week every 2 months), be available 24 hours per day to respond to pages.Required Qualifications5+ years of relevant industry experience with a minimum of three years in developing full-stack and cross-platform mobile applicationsExperience with complete mobile app lifecycle - design, develop, test, distribution, monitoring and version managementFluency in React Native, Node, JavaScript, Ruby, Python, or JavaFamiliarity with mobile tools/utilities for logging, monitoring, compliance, security, and managementTrack record of delivering large mobile/web projects successfully to productionExperience acting as the technical lead on at least two cross-team projectsDegree, certification, or relevant experience in software engineeringPreferred QualificationsFluency in Node, Typescript, GraphQL, MongoDB, React, React Native, Redis, or RabbitMQExperience developing full-stack web/distributed applications and integrationsMicroservices architecture experience E-commerce domain experienceProduct information management (PIM) experienceWarehouse management systems (WMS) experienceGrowth and acquisition experience (SEO, A/B testing, funnel analytics, etc.)Why work for Good Eggs?Work for a purpose-driven company building a better food system that cares about people and the planet.An incredible work environment with passionate, accomplished team membersBenefits include employer-assisted health, dental, vision, life and disability insurance, 401k, flexible spending accounts (FSA), 20% off groceries, Flex vacation + 10 holidays, generous parental leave, & opportunity for an unpaid sabbatical after 2 years.Meaningful equityLocally sourced, chef-prepared, family-style team lunchesGrocery is a $1 Trillion market in the US and it’s changing rapidly. Only 6% buy groceries online today and by 2025, it will be closer to 15-20%. The top 5 West Coast markets alone will be a $25B market by 2025.An all-star board includes Bill Gurley (Benchmark Capital, #2 on the Midas List), Danny Rimer (Index Ventures), Chuck Templeton (Managing Director of S2G Ventures and founder of Open Table), and Vishal Vasishth (Obvious Ventures)Good Eggs provides equal employment opportunities for team members and candidates regardless of race, color, religion, national origin, gender, sexual orientation, age, marital status, military status or disability in accordance with local, state and federal guidelines. We hire and promote individuals based on their qualifications for the position to be filled. We are committed to creating a diverse and inclusive workforce.",https://www.learningdollars.com/client/select_engineers/?crid=1966
2020-07-26,"['.NET', 'Bootstrap', 'C', 'CSS', 'Firebase', 'Go', 'HTML', 'Java', 'JavaScript', 'Nodejs', 'REST', 'React', 'Redux', 'Sockets', 'WebRTC', 'WebSockets']","Senior full-stack developer for profitable, gamified video conferencing startup that grew 5x in 30 days","Full-Time, Programming, Full-Stack, Anywhere (100% Remote) Only", Remo.co ,Remo.co,http://remo.co,"About Remo ConferenceRemo Conference (remo.co/conference) helps creators, coaches, and event organizers create immersive online events right from your computer Chrome browser where users can learn and connect with each other just like real life, right from your computer browser. Remo is the first web-video platform that allows people to have face-to-face networking online just like in-person events that build meaningful relationships and conversations.Requirements Strong knowledge of Javascript, HTML and CSS Expert in Web application development, at least 5 years of experience in maintaining a living and complex codebase with a modern stacks Expert in React frameworks , at least 5 years of experience Understanding Context, Hooks, Lifecycle Understanding state management architecture in Redux Experience in using UI frameworks like MaterialUI/Bootstrap etc Experience in developing RESTful APIs with Node.js, at least 3 years of experience Experience in SCSS framework, at least 2 years of experience Experience in Mongo Database and Mongoose framework Experience in writing unit tests for the features Experience in CircleCI/TravisCI Good knowledge/ability to learn webRTC communications and pitfalls Good at understanding task/feature value and able to explain to team members Good at making quick decisions for tasks Solid Production debugging skills Nice to have experience in mobile web development Nice to have experience on web game development Worked in real time application projects with Firebase or WebsocketSkillset  Great communication skills Customer-centric developer, enjoy in talking to customers to get feedback and solve customer problems Can work independently Quick learner Educate team members on the new learnings Being helpful to the team Takes feedback positively Will build product that customer love and not need to be what a developer wants Will work extras hours for urgent tasks Passionate in gamifying your work and product Passionate in testing new stack for the productGame design background is a plus Passionate in innovating existing product featuresHow to applyClick on the apply link or click hereTake the 5 min coding and also the coding challenge (takes only 45 mins)Click here to attend a Remo event and feel the magic of Remo! (Go to upcoming section at the bottom)",https://www.learningdollars.com/client/select_engineers/?crid=1967
